severity,code,date,match,match_id,detail,source_filename
WARNING,BRANN_STARTERS_NOT_11,1940-09-04,Brann-Årstad 1-0,b4291edb-4abd-456f-a239-066270e3b7a5,"Brann har 8 registrerte startere, ikke 11.",1940-09-04_brann-arstad.json
WARNING,BRANN_STARTERS_NOT_11,1940-09-08,Brann-Moss 0-7,eb9ce0bd-24fc-42b7-a937-e0bf651b8a4e,"Brann har 8 registrerte startere, ikke 11.",1940-09-08_brann-moss.json
WARNING,BRANN_STARTERS_NOT_11,1940-09-29,Hardy-Brann 6-3,46d4f237-a711-4af5-ad7a-4a5a5b86ac26,"Brann har 10 registrerte startere, ikke 11.",1940-09-29_hardy-brann.json
WARNING,BRANN_STARTERS_NOT_11,1940-10-06,Brann-Djerv 5-2,4ce77e1b-7e39-4baa-a185-05df5e910ffa,"Brann har 10 registrerte startere, ikke 11.",1940-10-06_brann-djerv.json
WARNING,BRANN_STARTERS_NOT_11,1940-10-13,Brann-Årstad 4-1,9df7ed8a-33db-4083-b507-3a728c5e2b04,"Brann har 9 registrerte startere, ikke 11.",1940-10-13_brann-arstad.json
WARNING,BRANN_STARTERS_NOT_11,1945-07-31,Brann-Nymark 4-0,0177aee1-00bd-4cdf-9721-a4bf8e4bb61c,"Brann har 4 registrerte startere, ikke 11.",1945-07-31_brann-nymark.json
WARNING,BRANN_STARTERS_NOT_11,1945-08-12,Brann-Florvåg 7-0,b90a86b4-6dbf-4eb2-bccd-2726d2b4779d,"Brann har 6 registrerte startere, ikke 11.",1945-08-12_brann-florvag.json
WARNING,BRANN_STARTERS_NOT_11,1945-08-14,Hardy-Brann 0-0,41cc2d09-e742-49de-90ed-d00ac39a6614,"Brann har 6 registrerte startere, ikke 11.",1945-08-14_hardy-brann.json
WARNING,BRANN_STARTERS_NOT_11,1945-08-19,Djerv 1919-Brann 2-0,675c0a1c-9450-436f-b54a-8ddd2308c1a2,"Brann har 5 registrerte startere, ikke 11.",1945-08-19_djerv-1919-brann.json
WARNING,BRANN_STARTERS_NOT_11,1945-08-23,Brann-Høidekameratene 1-0,014717a5-8137-4393-8c57-7262b4dcaaac,"Brann har 8 registrerte startere, ikke 11.",1945-08-23_brann-hoidekameratene.json
WARNING,BRANN_STARTERS_NOT_11,1945-09-04,Djerv-Brann 2-2,9949ea8e-3ee9-4d4a-a4b2-356840b78b3c,"Brann har 8 registrerte startere, ikke 11.",1945-09-04_djerv-brann.json
WARNING,BRANN_STARTERS_NOT_11,1945-09-30,Brann-Årstad 4-1,cb0673f5-6a94-45d2-9788-159b34a1dcd8,"Brann har 6 registrerte startere, ikke 11.",1945-09-30_brann-arstad.json
WARNING,BRANN_STARTERS_NOT_11,1950-08-13,Vålerenga-Brann 1-0,u548ocwktfdShAy5KigQSq,"Brann har 10 registrerte startere, ikke 11.",1950-08-13_vif-brann.json
WARNING,BRANN_STARTERS_NOT_11,1956-09-06,Nymark-Brann 0-6,EMlANHgCc3HIanJeffJldy,"Brann har 12 registrerte startere, ikke 11.",1956-09-06_nymark-brann.json
WARNING,BRANN_STARTERS_NOT_11,1964-09-02,Brann-Sarpsborg FK 2-0,954a0a63-56ec-5a79-b32f-13e0068ae751,"Brann har 12 registrerte startere, ikke 11.",1964-09-02_brann-sarpsborg-fk.json
WARNING,BRANN_STARTERS_NOT_11,1979-09-09,Start-Brann 1-0,ea3f498e-71df-5cc4-89d0-60de75707f30,"Brann har 10 registrerte startere, ikke 11.",1979-09-09_start-brann.json
WARNING,BRANN_STARTERS_NOT_11,1980-05-15,Brann-Kristiansund FK 2-1,f402dbcf-8a07-4018-97c6-3131b04f1ac6,"Brann har 8 registrerte startere, ikke 11.",1980-05-15_brann-kristiansund-fk.json
